"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
38,45,"Handschwengelpumpe [abgebaut]",Zentrum,Dittrichring,5133953,1237169,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Thomaskirchhof, am Fußweg der Grünanlage (gegenüber Hauptportal Thomaskirche)","wahrscheinlich abgebaut",,,09291023,
39,61,"Handschwengelpumpe [abgebaut]",Zentrum-Ost,"Dohnanyistraße 9",5134572,1238932,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 9, Nähe Ecke Hans-Poeche-Straße","wahrscheinlich abgebaut",,,09290968,
40,250,Handschwengelpumpe,Gohlis-Süd,Ehrensteinstraße,513581067,123746245,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Gohliser Straße","wahrscheinlich abgebaut",,,09292784,
41,158,Handschwengelpumpe,Plagwitz,Erich-Zeigner-Allee,513320663,123413155,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte neben der Kirche","wahrscheinlich abgebaut",,,09293042,
44,143,"Handschwengelpumpe [Torso]",Volkmarsdorf,Ernst-Thälmann-Platz,5134362,1240902,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Elisabethstraße 17 (Typ Gotik)","wahrscheinlich nur alter Torso vorhanden",,,09299212,
42,,,"Zentrum-Süd",Floßplatz,5133020605,123717105493359,,,,,
43,,,"Zentrum-Süd",Floßplatz,5133020605,123717105493359,,,,,
46,,,"Zentrum-Südost","Friedrichstraße 13",5133343,123850308,,,"abgebaut [Anke]",,
45,91,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,"Friedrichstraße 34",5133298,123849,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte sowie Wartungsschacht gegenüber ehemals Nr. 34, hinter Talstraße 34/Brüderstraße 55","abgebaut [Anke]",,,09299210,
47,234,Handschwengelpumpe,Gohlis-Süd,Fritz-Seger-Straße,5135860,1237124,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Vogelkäfig)","wahrscheinlich nur alter Torso vorhanden",,,09294853,
48,,"Vermutlicher Standort einer Handschwengelpumpe",Leutzsch,Georg-Schwarz-Straße,513468501,123156358,,"Vermutlicher Standort einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Bischhofstraße, vor dem Kopfbau gegenüber „Liebesplatz“",,,,09299208,
49,89,Handschwengelpumpe,Zentrum-Südost,"Glockenstraße 6 (andere Straßenseite)",5133345,123836317,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Hauseingang Nürnberger Straße 45","abgebaut [Anke]",,,09263548,
50,82,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,Goldschmidtstraße,5133649,1238279,,"nahe Roßplatz; Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","wurde verfüllt [Bau und Service GmbH]",,,09262082,
